epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.189,0.8374,2.47925,1.11398,0.56859,0.70557,0.69611,0.58214,0.54118,1.49276,0.95164,0.000237808,0.000237808,0.000237808
2,211.644,0.76745,1.5554,1.08401,0.77295,0.82195,0.83833,0.71028,0.55193,1.16366,0.95769,0.000464032,0.000464032,0.000464032
3,313.013,0.7416,1.33258,1.06722,0.81248,0.86445,0.87287,0.74549,0.56496,1.27792,0.97408,0.000678475,0.000678475,0.000678475
4,413.842,0.71855,1.21894,1.06156,0.85941,0.88915,0.89053,0.77797,0.52626,1.03346,0.94436,0.000660986,0.000660986,0.000660986
5,515.099,0.70235,1.13831,1.04818,0.88944,0.90072,0.93287,0.82178,0.49491,0.80504,0.92005,0.000643314,0.000643314,0.000643314
6,616.051,0.66244,1.0217,1.03017,0.87023,0.93106,0.92428,0.82283,0.48489,0.75302,0.91404,0.000625642,0.000625642,0.000625642
7,716.699,0.64759,0.95777,1.02229,0.91622,0.91081,0.93964,0.84356,0.47991,0.71512,0.91252,0.000607971,0.000607971,0.000607971
8,816.895,0.64033,0.92859,1.01939,0.89988,0.93183,0.94667,0.84687,0.46626,0.71321,0.90914,0.0005903,0.0005903,0.0005903
9,917.582,0.62502,0.85837,1.01094,0.92056,0.91689,0.94882,0.8507,0.46828,0.65807,0.91485,0.000572628,0.000572628,0.000572628
10,1018.31,0.62521,0.87216,1.01491,0.92295,0.91953,0.95276,0.85651,0.45252,0.67658,0.90053,0.000554956,0.000554956,0.000554956
11,1118.96,0.60562,0.81841,1.00166,0.92225,0.92077,0.94898,0.85471,0.4433,0.66593,0.89773,0.000537285,0.000537285,0.000537285
12,1218.86,0.59798,0.79755,0.99699,0.93733,0.93484,0.95566,0.86883,0.4422,0.5908,0.89326,0.000519613,0.000519613,0.000519613
13,1319.07,0.58844,0.76304,0.99508,0.91748,0.93078,0.94599,0.86011,0.43268,0.63608,0.89622,0.000501942,0.000501942,0.000501942
14,1419.29,0.57636,0.72978,0.98469,0.93674,0.94054,0.9552,0.87265,0.42177,0.56666,0.88384,0.000484271,0.000484271,0.000484271
15,1519.11,0.57257,0.72029,0.98802,0.93941,0.94272,0.96189,0.88231,0.41451,0.53829,0.88493,0.000466599,0.000466599,0.000466599
